대학ID,날짜,제목,요약,링크
24,2026-05-25,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
114,2026-09-10,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 순천향대학교 입학처 공고를 확인하세요.,
114,2026-07-06,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
114,2026-05-15,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
114,2025-12-08,[샘플] 2026학년도 수시 최초합격자 발표 안내,합격자 발표 및 등록 절차를 안내하는 샘플 소식입니다. 실제 발표 일정과 다를 수 있습니다.,
135,2026-09-05,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 원광대학교 입학처 공고를 확인하세요.,
135,2026-07-24,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
135,2026-05-12,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
135,2026-03-19,[샘플] 2026학년도 수시 전형 결과 공개,2026학년도 수시 전형 결과(경쟁률·충원율) 공개를 가정한 샘플 소식입니다. 자료실의 '2026학년도 수시 전형 결과' 샘플 파일을 참고하세요.,
143,2026-09-08,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 인하대학교 입학처 공고를 확인하세요.,
143,2026-07-06,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
143,2026-05-13,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
143,2025-12-11,[샘플] 2026학년도 수시 최초합격자 발표 안내,합격자 발표 및 등록 절차를 안내하는 샘플 소식입니다. 실제 발표 일정과 다를 수 있습니다.,
151,2026-09-09,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 조선대학교 입학처 공고를 확인하세요.,
151,2026-07-17,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
151,2026-05-11,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
151,2026-03-20,[샘플] 2026학년도 수시 전형 결과 공개,2026학년도 수시 전형 결과(경쟁률·충원율) 공개를 가정한 샘플 소식입니다. 자료실의 '2026학년도 수시 전형 결과' 샘플 파일을 참고하세요.,
151,2025-12-10,[샘플] 2026학년도 수시 최초합격자 발표 안내,합격자 발표 및 등록 절차를 안내하는 샘플 소식입니다. 실제 발표 일정과 다를 수 있습니다.,
153,2026-09-02,[샘플] 2027학년도 수시모집 원서접수 안내,원서접수 기간·제출 서류·유의사항을 안내하는 개발용 샘플 소식입니다. 실제 일정은 중앙대학교 입학처 공고를 확인하세요.,
153,2026-07-06,[샘플] 2027학년도 수시 입학설명회 개최,고교생·학부모를 대상으로 한 입학설명회 안내 예시입니다. 날짜와 장소는 가상의 정보입니다.,
153,2026-05-23,[샘플] 2027학년도 수시모집요강 공개,모집요강이 공개되었다는 가정의 샘플 소식입니다. 모집요강 탭에서 샘플 PDF를 볼 수 있습니다.,
153,2026-03-14,[샘플] 2026학년도 수시 전형 결과 공개,2026학년도 수시 전형 결과(경쟁률·충원율) 공개를 가정한 샘플 소식입니다. 자료실의 '2026학년도 수시 전형 결과' 샘플 파일을 참고하세요.,
153,2025-12-08,[샘플] 2026학년도 수시 최초합격자 발표 안내,합격자 발표 및 등록 절차를 안내하는 샘플 소식입니다. 실제 발표 일정과 다를 수 있습니다.,
